分类,级别,类型,简称,全称,出版社,网址
网络与信息安全,B,会议,PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,https://dblp.uni-trier.de/db/conf/pkc/index.html
网络与信息安全,B,会议,TCC,Theory of Cryptography Conference,Springer,https://dblp.uni-trier.de/db/conf/tcc/index.html
网络与信息安全,C,会议,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/wisec/
网络与信息安全,C,会议,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/sacmat/
网络与信息安全,C,会议,DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/drm/
网络与信息安全,C,会议,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,ACM,http://dblp.uni-trier.de/db/conf/ih/
网络与信息安全,C,会议,ACNS,International Conference on Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/acns/
网络与信息安全,C,会议,AsiaCCS,ACM Asia Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/
网络与信息安全,C,会议,ACISP,Australasia Conference on Information Security and Privacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/
网络与信息安全,C,会议,CT-RSA,The Cryptographer's Track at RSA Conference,Springer,http://dblp.uni-trier.de/db/conf/ctrsa/
